timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1773100800.0,1.3632,1.3641,1.3609,1.3614,128300.84,0.0,0.0,0
15m,1773101700.0,1.3614,1.3715,1.3614,1.3712,129231.68,0.0,0.0,0
15m,1773102600.0,1.3712,1.3739,1.3694,1.3729,327911.2,0.0,0.0,0
15m,1773103500.0,1.3729,1.3737,1.3692,1.37,308465.85,0.0,0.0,0
15m,1773104400.0,1.37,1.3719,1.3682,1.3703,193884.32,0.0,0.0,0
15m,1773105300.0,1.3703,1.3715,1.3669,1.3699,287332.83,0.0,0.0,0
15m,1773106200.0,1.3699,1.3713,1.3663,1.3679,129279.86,0.0,0.0,0
15m,1773107100.0,1.3679,1.3752,1.3675,1.3722,285352.84,0.0,0.0,0
15m,1773108000.0,1.3722,1.3733,1.3701,1.3723,151527.7,0.0,0.0,0
15m,1773108900.0,1.3723,1.3734,1.3705,1.3723,94000.46,0.0,0.0,0
15m,1773109800.0,1.3723,1.3907,1.3722,1.3883,1685785.39,0.0,0.0,0
15m,1773110700.0,1.3883,1.3926,1.3865,1.3876,1177890.18,0.0,0.0,0
15m,1773111600.0,1.3876,1.391,1.3859,1.3891,816502.51,0.0,0.0,0
15m,1773112500.0,1.3891,1.3898,1.3868,1.3868,369813.9,0.0,0.0,0
15m,1773113400.0,1.3868,1.3874,1.3823,1.3825,480195.01,0.0,0.0,0
15m,1773114300.0,1.3825,1.3825,1.375,1.3752,366359.92,0.0,0.0,0
15m,1773115200.0,1.3752,1.3769,1.3732,1.3756,339314.73,0.0,0.0,0
15m,1773116100.0,1.3756,1.3768,1.3744,1.3754,140916.19,0.0,0.0,0
15m,1773117000.0,1.3754,1.3822,1.3752,1.3809,187820.62,0.0,0.0,0
15m,1773117900.0,1.3809,1.3835,1.3789,1.3821,145266.88,0.0,0.0,0
15m,1773118800.0,1.3821,1.3894,1.3811,1.3862,479853.6,0.0,0.0,0
15m,1773119700.0,1.3862,1.3898,1.3851,1.3854,317676.65,0.0,0.0,0
15m,1773120600.0,1.3854,1.3865,1.3828,1.3855,258929.17,0.0,0.0,0
15m,1773121500.0,1.3855,1.3859,1.3838,1.3843,193010.55,0.0,0.0,0
15m,1773122400.0,1.3843,1.3844,1.3813,1.3816,295362.26,0.0,0.0,0
15m,1773123300.0,1.3816,1.3835,1.378,1.3831,208154.38,0.0,0.0,0
15m,1773124200.0,1.3831,1.3837,1.3801,1.3804,272895.03,0.0,0.0,0
15m,1773125100.0,1.3804,1.3824,1.3794,1.3804,130461.77,0.0,0.0,0
15m,1773126000.0,1.3804,1.3848,1.3764,1.3809,509162.21,0.0,0.0,0
15m,1773126900.0,1.3809,1.387,1.3807,1.3854,187873.97,0.0,0.0,0
