timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1751148900.0,2.1845,2.188,2.1845,2.1855,92805.89,0.0,0.0,0
15m,1751149800.0,2.1855,2.1886,2.1829,2.187,139779.81,0.0,0.0,0
15m,1751150700.0,2.187,2.1873,2.1839,2.1851,117362.26,0.0,0.0,0
15m,1751151600.0,2.1851,2.1862,2.1824,2.1824,65621.14,0.0,0.0,0
15m,1751152500.0,2.1824,2.1836,2.1813,2.1815,67952.15,0.0,0.0,0
15m,1751153400.0,2.1815,2.1845,2.181,2.1843,79070.09,0.0,0.0,0
15m,1751154300.0,2.1843,2.1866,2.1833,2.1851,69757.78,0.0,0.0,0
15m,1751155200.0,2.1851,2.1851,2.18,2.1813,160131.12,0.0,0.0,0
15m,1751156100.0,2.1813,2.1838,2.1791,2.1827,83867.13,0.0,0.0,0
15m,1751157000.0,2.1827,2.1861,2.1804,2.1823,159297.27,0.0,0.0,0
15m,1751157900.0,2.1823,2.1848,2.1808,2.1808,67500.6,0.0,0.0,0
15m,1751158800.0,2.1808,2.1835,2.1803,2.1804,66319.0,0.0,0.0,0
15m,1751159700.0,2.1804,2.1841,2.1803,2.1841,147002.63,0.0,0.0,0
15m,1751160600.0,2.1841,2.1848,2.1812,2.1813,45451.21,0.0,0.0,0
15m,1751161500.0,2.1813,2.1846,2.1806,2.184,72425.8,0.0,0.0,0
15m,1751162400.0,2.184,2.184,2.1749,2.178,454080.26,0.0,0.0,0
15m,1751163300.0,2.178,2.1844,2.1768,2.1844,102149.5,0.0,0.0,0
15m,1751164200.0,2.1844,2.1887,2.1835,2.1878,154058.48,0.0,0.0,0
15m,1751165100.0,2.1878,2.1896,2.1869,2.1878,107050.01,0.0,0.0,0
15m,1751166000.0,2.1878,2.1879,2.1861,2.1865,77350.01,0.0,0.0,0
15m,1751166900.0,2.1865,2.1878,2.1852,2.1854,52113.13,0.0,0.0,0
15m,1751167800.0,2.1854,2.1875,2.1846,2.1847,82494.17,0.0,0.0,0
